"section","order","details_html"
"2024",7,"<details>
    <summary> [Teosinte populations exhibit weak local adaptation to their rhizosphere biota despite strong effects of biota source on teosinte fitness and traits](https://doi.org/10.1093/evolut/qpae130)
 Anna M O’Brien, Ruairidh J H Sawers, Jaime Gasca-Pineda, Ivan Baxter, Luis E Eguiarte, **Jeffrey Ross-Ibarra**, Sharon Y Strauss

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract While biotic interactions often impose selection, species and populations vary in whether they are locally adapted to biotic interactions. Evolutionary theory predicts that environmental conditions drive this variable local adaptation by altering the fitness impacts of species interactions. To investigate the influence of an environmental gradient on adaptation between a plant and its associated rhizosphere biota, we cross-combined teosinte (Zea mays ssp. mexicana) and rhizosphere biota collected across a gradient of decreasing temperature, precipitation, and nutrients in a greenhouse common garden experiment. We measured both fitness and phenotypes expected to be influenced by biota, including concentrations of nutrients in leaves. Independent, main effects of teosinte and biota source explained most variation in teosinte fitness and traits. For example, biota from warmer sites provided population-independent fitness benefits across teosinte hosts. Effects of biota that depended on teosinte genotype were often not specific to their local hosts, and most traits had similar relationships to fitness across biota treatments. However, we found weak patterns of local adaptation between teosinte and biota from colder sites, suggesting environmental gradients may alter the importance of local adaptation in teosinte–biota interactions, as evolutionary theory predicts.
 </p></details><p></p>"
"2024",8,"<details>
    <summary> [A unified VCF dataset from nearly 1,500 diverse maize accessions and resources to explore the genomic landscape of maize](https://doi.org/10.1093/g3journal/jkae281)
 Carson M Andorf, **Jeffrey Ross-Ibarra**, Arun S Seetharam, Matthew B Hufford, Margaret R Woodhouse

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Efforts to capture and analyze maize nucleotide diversity have ranged widely in scope, but differences in reference genome version and software algorithms used in these efforts inhibit comparison, and these data are generally not available in an easy-to-use visualization platform for quick access and analysis. To address these issues, The Maize Genetics and Genomics Database has collaborated with maize researchers to offer variant data from a diverse set of 1,498 inbred lines, traditional varieties, and teosintes through a standardized variant-calling pipeline against version 5 of the B73 reference genome. The output was filtered for mapping quality, completeness, and linkage disequilibrium, and annotated based on variant effects relative to the B73 RefGen_v5 gene annotations. MaizeGDB has also updated a web tool, SNPversity 2.0, to filter, visualize, and download genotype sets based on genomic locations and accessions of interest, and added external datasets to demonstrate SNPversity 2.0's broad usage. MaizeGDB plans to host annual updates of these resources as additional resequencing data become available, with plans to expand to all publicly available sequence data.
 </p></details><p></p>"
"2023",6,"<details>
    <summary> [Two teosintes made modern maize](https://doi.org/10.1126/science.adg8940)
 Ning Yang, Yuebin Wang, Xiangguo Liu, Minliang Jin, ...[22 authors]..., Michelle C. Stitzer, Daniel Runcie, Jianbing Yan, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 The origins of maize were the topic of vigorous debate for nearly a century, but neither the current genetic model nor earlier archaeological models account for the totality of available data, and recent work has highlighted the potential contribution of a wild relative, Zea mays ssp. mexicana . Our population genetic analysis reveals that the origin of modern maize can be traced to an admixture between ancient maize and Zea mays ssp. mexicana in the highlands of Mexico some 4000 years after domestication began. We show that variation in admixture is a key component of maize diversity, both at individual loci and for additive genetic variation underlying agronomic traits. Our results clarify the origin of modern maize and raise new questions about the anthropogenic mechanisms underlying dispersal throughout the Americas.
 </p></details><p></p>"
"2023",7,"<details>
    <summary> [A happy accident: a novel turfgrass reference genome](https://doi.org/10.1093/g3journal/jkad073)
 Alyssa R Phillips, Arun S Seetharam, Patrice S Albert, Taylor AuBuchon-Elder, ...[5 authors]..., Maria Cinta Romay, Robert J Soreng, Elizabeth A Kellogg, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Poa pratensis, commonly known as Kentucky bluegrass, is a popular cool-season grass species used as turf in lawns and recreation areas globally. Despite its substantial economic value, a reference genome had not previously been assembled due to the genome’s relatively large size and biological complexity that includes apomixis, polyploidy, and interspecific hybridization. We report here a fortuitous de novo assembly and annotation of a P. pratensis genome. Instead of sequencing the genome of a C4 grass, we accidentally sampled and sequenced tissue from a weedy P. pratensis whose stolon was intertwined with that of the C4 grass. The draft assembly consists of 6.09 Gbp with an N50 scaffold length of 65.1 Mbp, and a total of 118 scaffolds, generated using PacBio long reads and Bionano optical map technology. We annotated 256K gene models and found 58% of the genome to be composed of transposable elements. To demonstrate the applicability of the reference genome, we evaluated population structure and estimated genetic diversity in P. pratensis collected from three North American prairies, two in Manitoba, Canada and one in Colorado, USA. Our results support previous studies that found high genetic diversity and population structure within the species. The reference genome and annotation will be an important resource for turfgrass breeding and study of bluegrasses.
 </p></details><p></p>"
"2023",8,"<details>
    <summary> [Genetic modification can improve crop yields — but stop overselling it](https://doi.org/10.1038/d41586-023-02895-w)
 Merritt Khaipho-Burch, Mark Cooper, Jose Crossa, Natalia de Leon, ...[5 authors]..., Pamela Ronald, **Jeffrey Ross-Ibarra**, Detlef Weigel, Edward S. Buckler

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2023",9,"<details>
    <summary> [Diamonds in the not-so-rough: Wild relative diversity hidden in crop genomes](https://doi.org/10.1371/journal.pbio.3002235)
 Sherry Flint-Garcia, Mitchell J. Feldmann, Hannes Dempewolf, Peter L. Morrell, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Crop production is becoming an increasing challenge as the global population grows and the climate changes. Modern cultivated crop species are selected for productivity under optimal growth environments and have often lost genetic variants that could allow them to adapt to diverse, and now rapidly changing, environments. These genetic variants are often present in their closest wild relatives, but so are less desirable traits. How to preserve and effectively utilize the rich genetic resources that crop wild relatives offer while avoiding detrimental variants and maladaptive genetic contributions is a central challenge for ongoing crop improvement. This Essay explores this challenge and potential paths that could lead to a solution.
 </p></details><p></p>"
"2023",10,"<details>
    <summary> [Unraveling Prevalence and Effects of Deleterious Mutations in Maize Elite Lines across Decades of Modern Breeding](https://doi.org/10.1093/molbev/msad170)
 Shichao Sun, Baobao Wang, Changyu Li, Gen Xu, Jinliang Yang, Matthew B Hufford, **Jeffrey Ross-Ibarra**, Haiyang Wang, Li Wang

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Future breeding is likely to involve the detection and removal of deleterious alleles, which are mutations that negatively affect crop fitness. However, little is known about the prevalence of such mutations and their effects on phenotypic traits in the context of modern crop breeding. To address this, we examined the number and frequency of deleterious mutations in 350 elite maize inbred lines developed over the past few decades in China and the United States. Our findings reveal an accumulation of weakly deleterious mutations and a decrease in strongly deleterious mutations, indicating the dominant effects of genetic drift and purifying selection for the two types of mutations, respectively. We also discovered that slightly deleterious mutations, when at lower frequencies, were more likely to be heterozygous in the developed hybrids. This is consistent with complementation as a potential explanation for heterosis. Subsequently, we found that deleterious mutations accounted for more of the variation in phenotypic traits than nondeleterious mutations with matched minor allele frequencies, especially for traits related to leaf angle and flowering time. Moreover, we detected fewer deleterious mutations in the promoter and gene body regions of differentially expressed genes across breeding eras than in nondifferentially expressed genes. Overall, our results provide a comprehensive assessment of the prevalence and impact of deleterious mutations in modern maize breeding and establish a useful baseline for future maize improvement efforts.
 </p></details><p></p>"
"2022",6,"<details>
    <summary> [Analysis of genotype-by-environment interactions in a maize mapping population](https://doi.org/10.1093/g3journal/jkac013)
 Asher I Hudson, Sarah G Odell, Pierre Dubreuil, Marie-Helene Tixier, Sebastien Praud, Daniel E Runcie, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Genotype-by-environment interactions are a significant challenge for crop breeding as well as being important for understanding the genetic basis of environmental adaptation. In this study, we analyzed genotype-by-environment interactions in a maize multiparent advanced generation intercross population grown across 5 environments. We found that genotype-by-environment interactions contributed as much as genotypic effects to the variation in some agronomically important traits. To understand how genetic correlations between traits change across environments, we estimated the genetic variance–covariance matrix in each environment. Changes in genetic covariances between traits across environments were common, even among traits that show low genotype-by-environment variance. We also performed a genome-wide association study to identify markers associated with genotype-by-environment interactions but found only a small number of significantly associated markers, possibly due to the highly polygenic nature of genotype-by-environment interactions in this population.
 </p></details><p></p>"
"2022",7,"<details>
    <summary> [Genome sequencing reveals evidence of adaptive variation in the genus Zea](https://doi.org/10.1038/s41588-022-01184-y)
 Lu Chen, Jingyun Luo, Minliang Jin, Ning Yang, ...[27 authors]..., Alisdair R. Fernie, Marilyn L. Warburton, **Jeffrey Ross-Ibarra**, Jianbing Yan

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2022",8,"<details>
    <summary> [Allele-specific Expression Reveals Multiple Paths to Highland Adaptation in Maize](https://doi.org/10.1093/molbev/msac239)
 Haixiao Hu, Taylor Crow, Saghi Nojoomi, Aimee J Schulz, ...[3 authors]..., Ruairidh Sawers, Rubén Rellán-Álvarez, **Jeffrey Ross-Ibarra**, Daniel E Runcie

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Maize is a staple food of smallholder farmers living in highland regions up to 4,000 m above sea level worldwide. Mexican and South American highlands are two major highland maize growing regions, and population genetic data suggest the maize's adaptation to these regions occurred largely independently, providing a case study for convergent evolution. To better understand the mechanistic basis of highland adaptation, we crossed maize landraces from 108 highland and lowland sites of Mexico and South America with the inbred line B73 to produce F1 hybrids and grew them in both highland and lowland sites in Mexico. We identified thousands of genes with divergent expression between highland and lowland populations. Hundreds of these genes show patterns of convergent evolution between Mexico and South America. To dissect the genetic architecture of the divergent gene expression, we developed a novel allele–specific expression analysis pipeline to detect genes with divergent functional cis-regulatory variation between highland and lowland populations. We identified hundreds of genes with divergent cis-regulation between highland and lowland landrace alleles, with 20 in common between regions, further suggesting convergence in the genes underlying highland adaptation. Further analyses suggest multiple mechanisms contribute to this convergence in gene regulation. Although the vast majority of evolutionary changes associated with highland adaptation were region specific, our findings highlight an important role for convergence at the gene expression and gene regulation levels as well.
 </p></details><p></p>"
"2022",9,"<details>
    <summary> [Controlling for Variable Transposition Rate with an Age-Adjusted Site Frequency Spectrum](https://doi.org/10.1093/gbe/evac016)
 Robert Horvath, Mitra Menon, Michelle Stitzer, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Recognition of the important role of transposable elements (TEs) in eukaryotic genomes quickly led to a burgeoning literature modeling and estimating the effects of selection on TEs. Much of the empirical work on selection has focused on analyzing the site frequency spectrum (SFS) of TEs. But TE evolution differs from standard models in a number of ways that can impact the power and interpretation of the SFS. For example, rather than mutating under a clock-like model, transposition often occurs in bursts which can inflate particular frequency categories compared with expectations under a standard neutral model. If a TE burst has been recent, the excess of low-frequency polymorphisms can mimic the effect of purifying selection. Here, we investigate how transposition bursts affect the frequency distribution of TEs and the correlation between age and allele frequency. Using information on the TE age distribution, we propose an age-adjusted SFS to compare TEs and neutral polymorphisms to more effectively evaluate whether TEs are under selective constraints. We show that our approach can minimize instances of false inference of selective constraint, remains robust to simple demographic changes, and allows for a correct identification of even weak selection affecting TEs which experienced a transposition burst. The results presented here will help researchers working on TEs to more reliably identify the effects of selection on TEs without having to rely on the assumption of a constant transposition rate.
 </p></details><p></p>"
"2022",10,"<details>
    <summary> [A B73×Palomero Toluqueño mapping population reveals local adaptation in Mexican highland maize](https://doi.org/10.1093/g3journal/jkab447)
 Sergio Perez-Limón, Meng Li, G Carolina Cintora-Martinez, M Rocio Aguilar-Rangel, ...[12 authors]..., Sherry Flint-Garcia, Luis Diaz-Garcia, Rubén Rellán-Álvarez, Ruairidh J H Sawers

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Generations of farmer selection in the central Mexican highlands have produced unique maize varieties adapted to the challenges of the local environment. In addition to possessing great agronomic and cultural value, Mexican highland maize represents a good system for the study of local adaptation and acquisition of adaptive phenotypes under cultivation. In this study, we characterize a recombinant inbred line population derived from the B73 reference line and the Mexican highland maize variety Palomero Toluqueño. B73 and Palomero Toluqueño showed classic rank-changing differences in performance between lowland and highland field sites, indicative of local adaptation. Quantitative trait mapping identified genomic regions linked to effects on yield components that were conditionally expressed depending on the environment. For the principal genomic regions associated with ear weight and total kernel number, the Palomero Toluqueño allele conferred an advantage specifically in the highland site, consistent with local adaptation. We identified Palomero Toluqueño alleles associated with expression of characteristic highland traits, including reduced tassel branching, increased sheath pigmentation and the presence of sheath macrohairs. The oligogenic architecture of these three morphological traits supports their role in adaptation, suggesting they have arisen from consistent directional selection acting at distinct points across the genome. We discuss these results in the context of the origin of phenotypic novelty during selection, commenting on the role of de novo mutation and the acquisition of adaptive variation by gene flow from endemic wild relatives.
 </p></details><p></p>"
"2022",11,"<details>
    <summary> [Modeling allelic diversity of multiparent mapping populations affects detection of quantitative trait loci](https://doi.org/10.1093/g3journal/jkac011)
 Sarah G Odell, Asher I Hudson, Sébastien Praud, Pierre Dubreuil, Marie-Hélène Tixier, **Jeffrey Ross-Ibarra**, Daniel E Runcie

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract The search for quantitative trait loci that explain complex traits such as yield and drought tolerance has been ongoing in all crops. Methods such as biparental quantitative trait loci mapping and genome-wide association studies each have their own advantages and limitations. Multiparent advanced generation intercross populations contain more recombination events and genetic diversity than biparental mapping populations and are better able to estimate effect sizes of rare alleles than association mapping populations. Here, we discuss the results of using a multiparent advanced generation intercross population of doubled haploid maize lines created from 16 diverse founders to perform quantitative trait loci mapping. We compare 3 models that assume bi-allelic, founder, and ancestral haplotype allelic states for quantitative trait loci. The 3 methods have differing power to detect quantitative trait loci for a variety of agronomic traits. Although the founder approach finds the most quantitative trait loci, all methods are able to find unique quantitative trait loci, suggesting that each model has advantages for traits with different genetic architectures. A closer look at a well-characterized flowering time quantitative trait loci, qDTA8, which contains vgt1, highlights the strengths and weaknesses of each method and suggests a potential epistatic interaction. Overall, our results reinforce the importance of considering different approaches to analyzing genotypic datasets, and shows the limitations of binary SNP data for identifying multiallelic quantitative trait loci.
 </p></details><p></p>"
