name	Kindr_E9	sKindr_7_EXONS	Zea_mays_Kin11_NM_001305870	Zea_mays_Kin6_NM_001319765	kindr_norm	skindr_norm
BKN010	0	15.40343348	1.965957447	2.389261745	0	7.073551432
yu374	0	6.586552217	0.812765957	0.912751678	0	7.634291395
M101	0	5.824034335	0.493617021	0.966442953	0	7.977801511
TIL02	0	8.493562232	0.531914894	1.483221477	0	8.429764216
R98	0	9.539341917	0.885106383	1.308724832	0	8.696513981
L135	0	5.087267525	0	1.134228188	0	8.970448062
PHG83	0	5.339055794	0.49787234	0.684563758	0	9.030603513
B98	0	11.04148784	1.178723404	1.261744966	0	9.048662931
M131-5	0	30.6981402	2.842553191	3.872483221	0	9.143104613
7327	0	7.359084406	0.387234043	1.147651007	0	9.589101685
Q1261	0	13.71530758	1.544680851	1.187919463	0	10.03828296
TIL10	0	304.6008584	26.4893617	32.71812081	0	10.28926904
BKN026	0	18.0758226	1.923404255	1.563758389	0	10.36706598
DH149	0	7.430615165	0.90212766	0.476510067	0	10.77964866
ZEAxppRBRDIAAPEI-3	0	128.6452074	15.65531915	7.959731544	0	10.89518791
207	0	17.09155937	0.89787234	2.127516779	0	11.29875113
NC358	0	17.66809728	1.914893617	0.966442953	0	12.26382052
BKN015	0	16.64949928	1.931914894	0.765100671	0	12.34660971
Tx303	0	14.18311874	2.153191489	0	0	13.1740431
TIL25-TIP489	0.988505747	337.2317597	19.9106383	31.10738255	0.038751239	13.22010357
A272	0	72.82260372	5.076595745	5.926174497	0	13.23713976
W22	1.879310345	324.9356223	19.1106383	24.69127517	0.085809509	14.83659487
dai6	0	12.48640916	0.74893617	0.912751678	0	15.02858575
Il14H	0	16.74964235	1.544680851	0.463087248	0	16.68483761
TIL15	1.83908046	453.5937053	27.96170213	24.04026846	0.070731183	17.44525064
PHN11	0	21.29184549	0.361702128	2.067114094	0	17.53269375
ZEAxppRAFDIAAPEI-1	0	21.45493562	1.510638298	0.932885906	0	17.56064915
Ms71	0	36.01716738	2.957446809	0.946308725	0	18.45257321
BKN016	0	50.12732475	3.527659574	1.845637584	0	18.65793879
698-3	0	18.8583691	0.263829787	1.630872483	0	19.90641949
W182bn	0	5.935622318	0.127659574	0.44295302	0	20.80438593
790	0	2.553648069	0	0.241610738	0	21.13853124
ZEAxppRDCDIAAPEI-2	0	14.28612303	0.817021277	0.483221477	0	21.97454744
R08	0	17.35908441	1.293617021	0.234899329	0	22.71363915
BKN023	0	20.7925608	0.936170213	0.724832215	0	25.03615944
CML418	0	51.5851216	2.953191489	0.919463087	0	26.64070372
WIL500	0	4.95851216	0.055319149	0.241610738	0	33.39853867
qi410	0	1.294706724	0	0	NA	Inf
